DATE,TIME,LAT,,LON,,POWER(V),TEMP(C),#FILES,MIC0 TYPE,MIC1 TYPE 
2024-Jan-16,13:51:00,-22.93806,s,50.84900,w,5.6,35.50,1,IN,IN 
2024-Jan-16,14:01:00,-22.93806,s,50.84900,w,5.6,35.25,1,IN,IN 
2024-Jan-16,14:11:00,-22.93806,s,50.84900,w,5.6,35.50,1,IN,IN 
2024-Jan-16,14:21:00,-22.93806,s,50.84900,w,5.6,35.25,1,IN,IN 
2024-Jan-16,14:31:00,-22.93806,s,50.84900,w,5.6,35.25,1,IN,IN 
2024-Jan-16,14:41:00,-22.93806,s,50.84900,w,5.6,35.25,1,IN,IN 
2024-Jan-16,14:51:00,-22.93806,s,50.84900,w,5.5,35.25,1,IN,IN 
2024-Jan-16,15:01:00,-22.93806,s,50.84900,w,5.6,35.25,1,IN,IN 
2024-Jan-16,15:11:00,-22.93806,s,50.84900,w,5.5,35.25,1,IN,IN 
2024-Jan-16,15:21:00,-22.93806,s,50.84900,w,5.6,35.50,1,IN,IN 
2024-Jan-16,15:31:00,-22.93806,s,50.84900,w,5.6,35.75,1,IN,IN 
2024-Jan-16,15:41:00,-22.93806,s,50.84900,w,5.5,35.75,1,IN,IN 
2024-Jan-16,15:51:00,-22.93806,s,50.84900,w,5.5,36.25,1,IN,IN 
2024-Jan-16,16:01:00,-22.93806,s,50.84900,w,5.6,36.25,1,IN,IN 
2024-Jan-16,16:11:00,-22.93806,s,50.84900,w,5.6,36.25,1,IN,IN 
2024-Jan-16,16:21:00,-22.93806,s,50.84900,w,5.5,36.00,1,IN,IN 
2024-Jan-16,16:31:00,-22.93806,s,50.84900,w,5.6,35.75,1,IN,IN 
2024-Jan-16,16:41:00,-22.93806,s,50.84900,w,5.5,35.50,1,IN,IN 
2024-Jan-16,16:51:00,-22.93806,s,50.84900,w,5.5,35.25,1,IN,IN 
2024-Jan-16,17:01:00,-22.93806,s,50.84900,w,5.6,35.25,1,IN,IN 
2024-Jan-16,17:11:00,-22.93806,s,50.84900,w,5.5,35.00,1,IN,IN 
2024-Jan-16,17:21:00,-22.93806,s,50.84900,w,5.5,35.25,1,IN,IN 
2024-Jan-16,17:31:00,-22.93806,s,50.84900,w,5.5,35.00,1,IN,IN 
2024-Jan-16,17:41:00,-22.93806,s,50.84900,w,5.5,35.00,1,IN,IN 
2024-Jan-16,17:51:00,-22.93806,s,50.84900,w,5.5,34.50,1,IN,IN 
2024-Jan-16,18:01:00,-22.93806,s,50.84900,w,5.5,34.25,1,IN,IN 
2024-Jan-16,18:11:00,-22.93806,s,50.84900,w,5.5,34.25,1,IN,IN 
2024-Jan-16,18:21:00,-22.93806,s,50.84900,w,5.5,34.00,1,IN,IN 
2024-Jan-16,18:31:00,-22.93806,s,50.84900,w,5.5,33.75,1,IN,IN 
2024-Jan-16,18:41:00,-22.93806,s,50.84900,w,5.5,33.50,1,IN,IN 
2024-Jan-16,18:51:00,-22.93806,s,50.84900,w,5.5,33.25,1,IN,IN 
